BAR001,Malookpur
BAR002,Kasgaraan
BAR003,Maheshpur
BAR004,Maheshapur
BAR005,Mahesh Pur Atariya
BAR006,Nai Chhavni Asharaf Khan
BAR007,Anand Nagar / Anand Bihar(Surkha Chhavni)
BAR008,Greater Akash
BAR009,Gandhi Puram
BAR010,Siddharth Nagar (Partapur Chaudhari)
BAR011,Jagrati Nagar
BAR012,Kila Chhavni
BAR013,Navada Jogiyan
BAR014,Surkha Chhavni
BAR015,Siddharth Nagar (Surkha Chhavni)
BAR016,Chhavni Banke
BAR017,Shastri Nagar
BAR018,Chhavni Asharaf Khan
BAR019,North City (Chhavni Banke)
BAR020,Kirtinagar
BAR021,Priyadarshani Nagar
BAR022,Prabhat Nagar
BAR023,Janakpuri
BAR024,Nagariya Parikshit
BAR025,Bakar Nagar Sundarasi
BAR026,Sikarpur
BAR027,Tatarpur
BAR028,Khistafija
BAR029,Kohadapeer
BAR030,Bankhana
BAR031,Rohali Tola
BAR032,Bhood
BAR033,Tivri
BAR034,Bda Colony
BAR035,Ashok Nagar
BAR036,Naheru Park Colony
BAR037,Gandhinagar
BAR038,Kailashpuram
BAR039,Adarshnagar (Veer Savarkar Nagar)
BAR040,Vannooval Nagar
BAR041,Vannuwal Awaas
BAR042,M.e.s. Colony(Delapeer)
BAR043,Delapeer
BAR044,Kirpal Nagar
BAR045,Munshi Nagar
BAR046,Avadh Bihar
BAR047,Vir Savarakar Nagar
BAR048,Chandramani Nagar
BAR049,Neelkanth
BAR050,Devvihar
BAR051,Krisnayan Colony
BAR052,Ram Bihar Colony
BAR053,Gagan Vihar (Delapeer)
BAR054,Narayan Awaas
BAR055,Mithalapuri / Avadh Bihar
BAR056,Katara Chand Kha Swatah Kar Nirdharan
BAR057,Sindhu Nagar
BAR058,Ajad Nagar Swatah Kar Nirdharan
BAR059,Nisha Enclave ( University Road)
BAR060,Katara Chand Khan
BAR061,Neelkanthdham Colony (Saidpur Hawkins)
BAR062,Patel Bihar (Saidpur Hawkins)
BAR063,Samadhi Gautiya (Saidpur Hawkins)
BAR064,Video Colony (Saidpur Hawkins)
BAR065,Krisn Vatika (Saidpur Hawkins)
BAR066,Shiv Dham (Saidpur Hawkins)
BAR067,Kashamiri Kothi Campus
BAR068,Karmchari Nagar
BAR069,Krishna Vatika(Karmchari Nagar)
BAR070,Balaji Bihar (Saidpur Hawkins)
BAR071,Sai Vatika (Saidpur Hawkins)
BAR072,Saidpur Hawkins
BAR073,Shiv Colony (Saidpur Haekins)
BAR074,Ram Vatika (Saidpur Hawkins)
BAR075,Triveni Enclave (Saidpur Haekins)
BAR076,Sevadham Colony (Saidpur Hawkins)
BAR077,Krishna Kunj Batika (Saidpur Hawkins)
BAR078,Anand Bihar
BAR079,Shiv Garden (Saidpur Hawkins)
BAR080,Pashchim Vihar Colony (Saidpur Hawkins)
BAR081,Pratap Nagar (Saidpur Hawkins)
BAR082,Ambika Avas
BAR083,Mahavir Kunj Colony (Saidpur Hawkins)
BAR084,Officers Enclave (Karmchari Nagar)
BAR085,Kesar Vatika (Karmchari Nagar)
BAR086,Gokul Dham (Saidpur Hawkins)
BAR087,Brajvasi Vihar (Karmchari Nagar)
BAR088,Lajpat Nagar (Karmchari Nagar)
BAR089,Sithaura
BAR090,Kuwarpur
BAR091,Jasauli
BAR092,Shahmataganj
BAR093,Kali Badi
BAR094,Anchal Colony
BAR095,Julfikarganj
BAR096,Faltoonganj
BAR097,Sanaiya Dhan Singh
BAR098,Shanti Vihar
BAR099,Gopal Nagar (Jogi Navada)
BAR100,Mega City (Sanjaynagar)
BAR101,Durga Nagar Colony
BAR102,Gulab Nagar
BAR103,Chahvai
BAR104,Hajiyapur
BAR105,City Hart
BAR106,Shyam Enclave
BAR107,Residency Garden
BAR108,Kaushambi Enclave
BAR109,Puskar Enclave
BAR110,Rotha (C.b. Ganj)
BAR111,Pastaur
BAR112,Saraniya
BAR113,Sanjay Nagar
BAR114,Ashapuram
BAR115,Anand Bihar (Sanjay Nagar)
BAR116,Sainik Colony
BAR117,Tulip Tower (Sanjay Nagar)
BAR118,Amar Nath Dham Colony
BAR119,Man Sarovar Gardan (Haroonagla) Swatah Kar Nirdharan
BAR120,Man Sarovar Gardan
BAR121,Khushboo Enclave
BAR122,Maa Vaishnopuram (Jagatpur Lala Begam)
BAR123,Radhakunj Colony Haroonagala
BAR124,Maa Vaishno Kunj Dohra (Haroonagla)
BAR125,Haroongala
BAR126,Krisna Nagar Colony (Haroonagala)
BAR127,Panch Sheel Nagar
BAR128,Sani Residency Haroongala
BAR129,Faik Enclave
BAR130,Green Park Vistar Colony
BAR131,Green Park Colony
BAR132,Amit Bihar Colony Haroongala
BAR133,Agrasen Nagar Haroongala
BAR134,Greater Green Park Colony
BAR135,Pawan Bihar
BAR136,Ganesh Puram
BAR137,Mahalu
BAR138,Alok Nagar
BAR139,Defence Colony
BAR140,Santnagar
BAR141,Gayatri Nagar
BAR142,Kanjadaspur
BAR143,Biharipur Si. La.
BAR144,Jatvara
BAR145,Jatavpura
BAR146,Vishnu Dham
BAR147,Tulasherpur
BAR148,Biharman Nagala
BAR149,Parvana Nagar (Delapeer)
BAR150,Chotibihar
BAR151,Surya Enclave
BAR152,Mahanagar Colony
BAR153,Ashutosh City (Delapeer)
BAR154,Silver State
BAR155,Sugar Factory
BAR156,R.p.f. Quatar
BAR157,Oil Depot Area
BAR158,Nekpur
BAR159,Tiroopati Vihar (Nekapur)
BAR160,Nekpur (Galla Mandi)
BAR161,Railway Colony
BAR162,Navada Shekhan (Rajanagar) Swatah Kar Nirdharan
BAR163,Navada Shekhan
BAR164,Navada Shekhan (Swatah Kar)
BAR165,Krisna Nagar Pilibhit Bypass
BAR166,Veer Bhatti
BAR167,Narkulaganj
BAR168,Ekata Nagar
BAR169,Model Town
BAR170,Shahadana Colony
BAR171,Deendayalpuram
BAR172,Naumahala Civil Line
BAR173,Choupla Civil Line
BAR174,Islamia
BAR175,Jila Jail
BAR176,Railway Colony Choupla
BAR177,Bag Ahamad Ali
BAR178,Gangapur
BAR179,Shahdana
BAR180,Brahampura
BAR181,Brajlok Colony
BAR182,Prem Nagar
BAR183,Kanoon Gauyan
BAR184,Aaram Signh Basti
BAR185,Madhovadi
BAR186,Lodhi Tola
BAR187,Chak Mahamood
BAR188,Kelabag
BAR189,Pulkaji
BAR190,Punjab Pura
BAR191,Chhipi Tola
BAR192,Sahookara
BAR193,Bajariya Motilal
BAR194,Siklapur
BAR195,Bagbrigatan
BAR196,Saray Kham
BAR197,Ajam Nagar
BAR198,Suresh Sharma Nagar
BAR199,Nirman Nagar
BAR200,Laksmi Nagar Colony
BAR201,Ramayan Vihar
BAR202,Tilak Colony (Subhash Nagar)
BAR203,Vagga Colony (Subhash Nagar)
BAR204,Subhash Nagar
BAR205,Sarvoday Nagar
BAR206,Railway School
BAR207,Chadhai Neem
BAR208,Katara Manray
BAR209,Jakati
BAR210,Gali Navavan
BAR211,Bajariya Pooran Mal
BAR212,Memiya Tola
BAR213,Khalilpur
BAR214,Sleeper Road Labour Colony
BAR215,C.b. Ganj
BAR216,Lohiya Bihar (C.b. Ganj)
BAR217,Premnagar C.b. Ganj
BAR218,C.b. Ganj Industrial State
BAR219,Divya Lok Colony
BAR220,Purnagiri Vihar
BAR221,Ramayan Epartament
BAR222,Vrindavan Colony
BAR223,Puspanjali Colony
BAR224,Rajiv Kunj
BAR225,Rajendra Nagar
BAR226,Rajendra Nagar (C. Block)
BAR227,Swapn Lok Colony
BAR228,Rajendr Nagar(E. Block)
BAR229,Rajendr Nagar(D. Block)
BAR230,Gul Mohar Park (Rajendr Nagar)
BAR231,Glaxy Home
BAR232,Deepak Bihar
BAR233,Narendra Bihar
BAR234,Jagadish Bihar/avadh Avas
BAR235,Indira Nagar
BAR236,Rajendra Nagar (A. Block)
BAR237,Rajendra Nagar (B. Block)
BAR238,Shiv Nagar
BAR239,Mandal Vihar
BAR240,Riksh Bandan
BAR241,Vamanpuri
BAR242,Khannoo
BAR243,Gadhaiya
BAR244,Saray Pukhta
BAR245,Foolvalan
BAR246,Krishn Vihar
BAR247,Shivpuri (Maulanagar)
BAR248,Amar Colony (Surkha)
BAR249,B.c. Bank Colony (Surkha)
BAR250,Maula Nagar
BAR251,Vikramadityapuri (Surkha)
BAR252,Surkha
BAR253,Shahabad
BAR254,Madhinath
BAR255,Rabindra Nagar
BAR256,Vanshi Nagala Madinath
BAR257,Ganesh Nagar
BAR258,Northacity Extension
BAR259,Indraprasth Colony
BAR260,Kurmachal Nagar
BAR261,Kudesiya Izzat Nagar
BAR262,Railway Colony Izzat Nagar
BAR263,Notify Area Izzat Nagar
BAR264,Tiyooliya
BAR265,Bandiya
BAR266,Mathurapur
BAR267,Faridapur Chaudhari
BAR268,Krishna Nagar
BAR269,Nandan Van Colony
BAR270,Shidhart Nagar
BAR271,Math Laksmipur
BAR272,Rahpura Chaudhari
BAR273,Avadh Dham Colony
BAR274,Math Kamal Nayanapur
BAR275,Partapur Jevan Sahay
BAR276,Suncity
BAR277,Abhilasha Sancity Vistar
BAR278,Avantika Suncity Vistar
BAR279,Astha Suncity Vistar
BAR280,Vatika Sancity Vistar
BAR281,North City
BAR282,Sancity Executive
BAR283,Sancity Old
BAR284,Club Premier (Suncity)
BAR285,Vaibhav Sancity Vistar
BAR286,Peer Vahoda
BAR287,Nai Basti
BAR288,Akab Kotavali
BAR289,Basmandi
BAR290,Alamgiriganj
BAR291,Farrashi Tola
BAR292,Vidhauliya C. B. Ganj
BAR293,Govindapur
BAR294,West End Colony
BAR295,Sanaua
BAR296,Nakshbandhan
BAR297,Jakhira
BAR298,Masjid Domani
BAR299,Gherashekh Mitthoo
BAR300,Jasoli Ahetmali
BAR301,Lichi Bagh
BAR302,Srai Talfi
BAR303,Navadiya
BAR304,Swale Nagar
BAR305,Chandan Nagar
BAR306,Pashupati Vihar
BAR307,Aizajnagar Gautiya
BAR308,Tulsi Nagar
BAR309,Katghar
BAR310,Husain Bagh
BAR311,Civil Line
BAR312,Sarkari Vibhag
BAR313,Gandhi Udyan
BAR314,Bhatnagar Colony
BAR315,A.d.m. Compund
BAR316,S.s.p. Office
BAR317,P.w.d. Quator
BAR318,Tehsil
BAR319,Power House Area
BAR320,Bajar Sandal Khan
BAR321,English Ganj
BAR322,Kohna Kotavali
BAR323,Reti
BAR324,Kanghi Tola
BAR325,Samrat Ashok Nagar (Jogi Navada)
BAR326,K. K. Garvi
BAR327,Kanhaiya Tola
BAR328,Darji Chauk
BAR329,K.k. Sharki (Khvaja Kutub)
BAR330,Saudagaran
BAR331,Madari Gate
BAR332,Koocha Sitaram
BAR333,Kaharvan
BAR334,Partapur Chaudhari
BAR335,Shiv State (Partapur Chaudhari)
BAR336,Sailani
BAR337,Katikuiya
BAR338,Kaji Tola
BAR339,Soofi Tola
BAR340,Gher Jafar Khan
BAR341,Kasai Tola
BAR342,Chak Mahamood Nagar
BAR343,Gautiya Khurram
BAR344,Classic Enclave Makarandpur Sarkar (Civil Line)
BAR345,Makarandpur (Civil Lines)
BAR346,Ramapur Bag
BAR347,Radheshyam Enclave
BAR348,Semalkheda
BAR349,Ramvatika
BAR350,Kasba Hafijpur
BAR351,Pagalkhana
BAR352,Bareilly College
BAR353,Forest Colony
BAR354,Sanaiya Rani Meva Kunvar
BAR355,Sarvoday Nagar
BAR356,Jauharpur
BAR357,Parsakheda Audyogik Kshetra
BAR358,Ganga Nagar Colony (Nandosi)
BAR359,Garagaiya Urf Gokul Pur
BAR360,Nandausi
BAR361,Parsakheda (Gram) Railway Line
BAR362,Khadua Urf Haidarabad
BAR363,Banajariya Nai Basti Parsakheda
BAR364,Bakarganj
BAR365,Benipur Chudhary
BAR366,Kot
BAR367,Kankar Tola
BAR368,Rabdi Tola
BAR369,Sahasavani Tola
BAR370,Bukharpura
BAR371,Abdulla Ganj
BAR372,Memaran
BAR373,Khatriyan
BAR374,Karaulan
BAR375,Parvej Nagar
BAR376,Murabpura
BAR377,Rafiyabad
BAR378,Chaudhari Mohalla
BAR379,Talab Chayudhari
BAR380,Chandragupt Puram Colony
BAR381,Akashpuram
BAR382,Gardan City
BAR383,Jagatapur
BAR384,R.p. Enclave
